event,event_time,symbol,kline_open_time,kline_close_time,symbol,interval,first_trade_id,last_trade_id,open_price,close_price,highest_price,lowest_price,base_asset_volume,number_of_trades,is_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
kline,1685574964804,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340811,1868.81000000,1868.81000000,1868.81000000,1868.80000000,0.73180000,17,False,1367.59119300,0.33530000,626.61199300,0
kline,1685574967128,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340815,1868.81000000,1868.81000000,1868.81000000,1868.80000000,0.78480000,21,False,1466.63797200,0.37320000,697.43989200,0
kline,1685574970456,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340816,1868.81000000,1868.80000000,1868.81000000,1868.80000000,0.79310000,22,False,1482.14901200,0.37320000,697.43989200,0
kline,1685574973456,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340822,1868.81000000,1868.80000000,1868.81000000,1868.80000000,1.26220000,28,False,2358.80758400,0.82240000,1536.90934400,0
kline,1685574975839,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340831,1868.81000000,1868.80000000,1868.81000000,1868.80000000,3.50400000,37,False,6548.30002800,2.48280000,4639.88146800,0
kline,1685574977909,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340835,1868.81000000,1868.80000000,1868.81000000,1868.80000000,6.91830000,41,False,12928.94409800,2.50580000,4682.86409800,0
kline,1685574980456,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340839,1868.81000000,1868.80000000,1868.81000000,1868.80000000,7.23340000,45,False,13517.80351300,2.55930000,4782.84543300,0
kline,1685574982649,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340843,1868.81000000,1868.81000000,1868.81000000,1868.80000000,7.42790000,49,False,13881.28682000,2.73000000,5101.85130000,0
kline,1685574985456,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340850,1868.81000000,1868.80000000,1868.81000000,1868.80000000,8.02490000,56,False,14996.96608800,3.29680000,6161.09280800,0
kline,1685574988457,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340854,1868.81000000,1868.80000000,1868.81000000,1868.80000000,8.16300000,60,False,15255.04814700,3.37470000,6306.67310700,0
